taxonID,parent,synonymOf,name,authorship,taxonRank,status,genus,specificEpithet,infraspecificEpithet
10851418,,9150405.0,Solanum hirsutum,Kit. ex Kanitz,species,synonym,Solanum,hirsutum,
12139195,,9150405.0,Solanum nigrum stenopetalum,A.Braun,variety,synonym,Solanum,nigrum,stenopetalum
8557163,,9150405.0,Solanum atriplicifolium,Desp.,species,homotypic synonym,Solanum,atriplicifolium,
10770271,,9150405.0,Solanum nigrum europaeum,Fil.,subspecies,synonym,Solanum,nigrum,europaeum
2932721,,9150405.0,Solanum fontanesianum,Schrank,species,heterotypic synonym,Solanum,fontanesianum,
10927653,,9150405.0,Solanum nigrum stenopetalum,A.Braun,form,homotypic synonym,Solanum,nigrum,stenopetalum
3799714,,9150405.0,Solanum nigrum incisum,Täckh. & Boulos,variety,synonym,Solanum,nigrum,incisum
7418553,,9150405.0,Solanum nigrum humile,Macloskie,variety,heterotypic synonym,Solanum,nigrum,humile
10995809,,9150405.0,Solanum vulgatum chlorocarpum,Spenn.,variety,synonym,Solanum,vulgatum,chlorocarpum
3800220,,9150405.0,Solanum bidentatum,Raf.,species,synonym,Solanum,bidentatum,
11031533,,9150405.0,Solanum nigrum perennans,Bertol.,variety,synonym,Solanum,nigrum,perennans
3802265,,9150405.0,Solanum rottboellianum,Roem. & Schult.,species,synonym,Solanum,rottboellianum,
10854046,,,Solanum nigrum virginicum,"Elliott, 1817",variety,accepted,Solanum,nigrum,virginicum
8097816,,9150405.0,Solanum decurrens,Wall. ex Dunal,species,proparte synonym,Solanum,decurrens,
12299112,,9150405.0,Solanum villosum glabrescens,Opiz,variety,homotypic synonym,Solanum,villosum,glabrescens
7472756,,9150405.0,Solanum nigrum atriplicifolium,N.H.F.Desp.,variety,synonym,Solanum,nigrum,atriplicifolium
11046793,,,Solanum nigrum unranked,"(Rydb.) F.C.Gates, 1940",subspecies,doubtful,Solanum,nigrum,
2930972,,9150405.0,Solanum roxburghii,Dunal,species,heterotypic synonym,Solanum,roxburghii,
2932868,,9150405.0,Solanum pseudoflavum,Pojark.,species,synonym,Solanum,pseudoflavum,
8387128,,9150405.0,Solanum nigrum vulgare,L.,variety,synonym,Solanum,nigrum,vulgare
11292945,,9150405.0,Solanum nigrum luridum,Wessely,subspecies,synonym,Solanum,nigrum,luridum
3801332,,9150405.0,Solanum extremiorientale,Ignatov,species,synonym,Solanum,extremiorientale,
8732900,,9150405.0,Solanum nigrum atriplicifolium,Desp. ex Dunal,variety,synonym,Solanum,nigrum,atriplicifolium
12102420,,9150405.0,Solanum nigrum vulgatum,Horv.,variety,synonym,Solanum,nigrum,vulgatum
10713470,,,Solanum nigrum unranked,"Döll, 1843",subspecies,accepted,Solanum,nigrum,
11044175,,9150405.0,Solanum cestrifolium,Jacq. ex Spreng.,species,synonym,Solanum,cestrifolium,
11001855,,9150405.0,Solanum nigrum stenopetalum,A.Braun ex Döll,form,synonym,Solanum,nigrum,stenopetalum
3799649,,9150405.0,Solanum nigrum stylosum,Witasek,variety,synonym,Solanum,nigrum,stylosum
8512960,,9150405.0,Solanum villosum,Opiz,species,homotypic synonym,Solanum,villosum,
8291717,,9150405.0,Solanum diffusum,Vell.,species,synonym,Solanum,diffusum,
11075674,,9150405.0,Solanum nigrum hebecaulon,Lowe,variety,synonym,Solanum,nigrum,hebecaulon
11004780,,9150405.0,Solanum acutifolium,Kit. ex Kanitz,species,heterotypic synonym,Solanum,acutifolium,
3798541,,9150405.0,Solanum chenopodiifolium,H.Lév.,species,synonym,Solanum,chenopodiifolium,
2929724,,9150405.0,Solanum atriplicifolium,Desp. ex Dunal,species,synonym,Solanum,atriplicifolium,
12350613,,9150405.0,Solanum nigrum inerme,K.Koch,subspecies,synonym,Solanum,nigrum,inerme
2932310,,9150405.0,Solanum cestrophyllum,Dunal,species,synonym,Solanum,cestrophyllum,
2930247,,9150405.0,Solanum ganchouenense,H.Lév.,species,synonym,Solanum,ganchouenense,
7786842,,9150405.0,Solanum parviflorum,Moris ex Badarò,species,heterotypic synonym,Solanum,parviflorum,
7299627,,,Solanum nigrum nigrum,,variety,accepted,Solanum,nigrum,nigrum
11013808,,9150405.0,Solanum nigrum glabrum,Lowe,variety,synonym,Solanum,nigrum,glabrum
11948465,,9150405.0,Solanum nigrum vulgatum,Ehrh. ex Ehrh.,variety,synonym,Solanum,nigrum,vulgatum
7581733,,9150405.0,Solanum foetidum,Rottb.,species,synonym,Solanum,foetidum,
7512167,,9150405.0,Solanum nigrum atriplicifolium,G.Mey.,variety,synonym,Solanum,nigrum,atriplicifolium
7763702,,9150405.0,Solanum cestrifolium,Jacq. ex Weinw.,species,synonym,Solanum,cestrifolium,
3799707,,9150405.0,Solanum nigrum longepedunculatum,Hassl.,form,synonym,Solanum,nigrum,longepedunculatum
8032144,,9150405.0,Solanum nigrum atriplicifolium,G.Don,variety,synonym,Solanum,nigrum,atriplicifolium
11033914,,,Solanum nigrum unranked,"Lam. ex C.C.Gmel., 1811",subspecies,doubtful,Solanum,nigrum,
