taxonID,parent,synonymOf,name,authorship,taxonRank,status
3801096,,7299852,Cestrum subpulverulentum ovale,Sendtn.,variety,synonym
3797075,,7299852,Cestrum collinum,Miers,species,synonym
3803080,,7299852,Cestrum glomeratum,Schott ex Sendtn.,species,synonym
8525817,,7299852,Cestrum glomeratum,Schott,species,homotypic synonym
3802016,,7299852,Cestrum ovale,(Sendtn.) Francey,species,synonym
3802782,,7300120,Cestrum kellermanii,Francey,species,synonym
3803003,,7300120,Cestrum guatemalense gracile,C.V.Morton,variety,synonym
3801985,,7300120,Cestrum pacayense,Francey,species,synonym
3800819,,7299810,Cestrum velutinum gardnerianum,Hiern,variety,synonym
3797565,,7299810,Cestrum atroxanthum,Kuntze,species,synonym
8461569,,7299810,Cestrum albotomentosum,Dammer,species,homotypic synonym
3797757,,7299810,Cestrum albotomentosum,Dammer ex Francey,species,synonym
3801139,,7299860,Cestrum stuebelii cuspidatum,Francey,variety,synonym
8676110,,7299860,Cestrum stuebelii,Hieron.,species,homotypic synonym
3801132,,7299860,Cestrum stuebelii longispicatum,Francey,variety,synonym
7299160,,,Cestrum corymbosum corymbosum,,variety,accepted
3796998,,7299159,Cestrum corymbosum grandifolium,Dunal,variety,synonym
3800974,,7299159,Cestrum tinus,Dunal,species,synonym
3796989,,7299159,Cestrum corymbosum parvifolium,Dunal,variety,synonym
3796993,,,Cestrum corymbosum hirsutum,Francey,variety,accepted
11251185,,7299246,Cestrum pallidum,Griseb.,species,synonym
3797446,,7299246,Cestrum bahamense latifolium,Francey,variety,synonym
3800843,,3802833,Cestrum urbanii,Francey,species,synonym
3797129,,3802833,Cestrum chiriquianum,Francey,species,synonym
7352910,,3802833,Cestrum talamancaense,A.K.Monro,species,synonym
3800835,,3802833,Cestrum valerioi,Francey,species,synonym
3796981,,3802833,Cestrum costaricense,Francey,species,synonym
3801960,,3802833,Cestrum pallidum,Francey,species,heterotypic synonym
3797120,,3803324,Cestrum chlamidatum,Dunal,species,synonym
3802617,,3797107,Cestrum laurifolium grandifolium,O.E.Schulz ex Francey,form,synonym
3802613,,3797107,Cestrum laurifolium intermedium,Kuntze,variety,synonym
3802605,,3797107,Cestrum laurifolium neglectum,Kuntze,variety,synonym
3797653,,7759317,Cestrum amplum grandifolium,Francey,variety,synonym
7468950,,7759317,Cestrum racemosum,Tausch,species,heterotypic synonym
8055191,,7759317,Cestrum costanensis,Steyerm.,species,synonym
8036956,,7759317,Cestrum costanense,Steyerm.,species,synonym
8276310,,7759317,Cestrum dubium,Pittier,species,synonym
7299281,,7759317,Cestrum amplum,Pittier,species,synonym
3803434,,7759317,Cestrum dubium,Steud.,species,synonym
3801942,,7299919,Cestrum panamense,Standl.,species,synonym
3803042,,7299919,Cestrum grande,Pittier,species,synonym
3802359,,7299919,Cestrum mathewsii,Dunal,species,synonym
3801527,,7299919,Cestrum racemosum bolivianum,Francey,variety,synonym
7812810,,8131064,Cestrum hirtum,Sieber ex Sendtn.,species,heterotypic synonym
7299991,,8131064,Cestrum oliganthum,Dunal,species,synonym
3802063,,8131064,Cestrum oliganthum latifolium,Dunal,variety,synonym
9244947,,8131064,Cestrum latifolium genuinum,"Stehlé ex Fournet, 1978",variety,synonym
3797112,,8131064,Cestrum chloranthum,Dunal,species,synonym
8199585,,8131064,Cestrum tenuiflorum,Kunth,species,synonym
9460227,,8131064,Cestrum latifolium genuinum,Stehlé,variety,homotypic synonym
3797766,,8131064,Cestrum albopunctatum,Dunal,species,synonym
7300068,,8131064,Cestrum latifolium,Sieber ex Dunal,species,synonym
3797412,,8131064,Cestrum billbergianum,Beurl.,species,synonym
8496754,,8131064,Cestrum latifolium,Sieber,species,homotypic synonym
7431617,,8131064,Cestrum macrophyllum,Billb. ex Beurl.,species,heterotypic synonym
7649804,,8131064,Cestrum vespertinum,Griseb.,species,synonym
8451554,,8131064,Cestrum ovatum,Willd.,species,homotypic synonym
3801607,,8131064,Cestrum prieurei,Dunal,species,synonym
8624216,,8131064,Cestrum floribundum,Willd.,species,homotypic synonym
12388916,,8131064,Cestrum vespertinum,Poepp. ex Sendt.,species,proparte synonym
8076367,,8131064,Cestrum floribundum,Willd. ex Roem. & Schult.,species,heterotypic synonym
3801646,,8131064,Cestrum poeppigii,Sendtn.,species,heterotypic synonym
8574152,,8131064,Cestrum macrophyllum,Billb.,species,homotypic synonym
3801993,,8131064,Cestrum ovatum,Willd. ex Roem. & Schult.,species,synonym
8709103,,8131064,Cestrum hirtum,Sieber,species,homotypic synonym
3801518,,7299919,Cestrum racemosum panamense,(Standl.) Francey,variety,synonym
3801521,,7299919,Cestrum racemosum grande,(Pittier) Francey,variety,synonym
3802633,,8131064,Cestrum latifolium tenuiflorum,(Kunth) O.E.Schulz,variety,synonym
5581280,,8131064,Wadea latifolia,(Lam.) Raf.,species,synonym
3796942,,3797170,Sessea regnellii,Taub.,species,synonym
3803011,,7300123,Cestrum guaraniticum latifolia,Hassl.,form,synonym
3802463,,7299956,Cestrum luridum,Dunal,species,synonym
3801799,,7299956,Cestrum pedicellatum lancifolium,Francey,variety,synonym
3802532,,3802262,Cestrum limitatis,Alain,species,synonym
3803444,,3802311,Cestrum donnell-smithii,Francey,species,synonym
3801262,,3802311,Cestrum silvaticum,Francey,species,synonym
3801028,,3802311,Cestrum tenuissimum,Francey,species,synonym
8081500,,7299228,Cestrum lanceolatum,Miers,species,synonym
3797353,,7299228,Cestrum bracteatum parviflorum,Sendtn.,variety,synonym
8580807,,7299228,Cestrum lanceolatum dentatum,Witasek,variety,homotypic synonym
7576070,,7299228,Cestrum amictum paranense,Witasek,variety,synonym
3797707,,7299228,Cestrum amictum elongatum,Francey,form,synonym
3802233,,7299228,Cestrum morretense,Toledo,species,synonym
8473320,,7299228,Cestrum rugulosum,Schott,species,homotypic synonym
3801186,,7299228,Cestrum stipulatum,Vell.,species,synonym
7300074,,7299228,Cestrum lanceolatum,Schott ex Sendt.,species,synonym
3797360,,7299228,Cestrum bracteatum longifolium,Sendtn.,variety,synonym
8420958,,7299228,Cestrum bracteatum parviflorum,Schott,variety,synonym
3802037,,7299228,Cestrum organense,Miers,species,synonym
8460801,,7299228,Cestrum lanceolatum,Schott,species,homotypic synonym
7503077,,7299228,Cestrum rugulosum,Schott ex Sendt.,species,heterotypic synonym
7897653,,7299228,Cestrum morretense,Toledo ex Handro,species,synonym
3802680,,7299228,Cestrum lanceolatum dentatum,Witasek ex Francey,variety,synonym
3797675,,7299228,Cestrum amictum paranense,Witasek,form,synonym
7299284,,7299228,Cestrum amictum,Schltdl.,species,synonym
3797368,,7299228,Cestrum bracteatum longiflorum,Sendtn.,variety,synonym
3802673,,7299228,Cestrum lanceolatum rugulosum,Sendtn.,variety,synonym
3797715,,7299228,Cestrum amictum angustifolium,Francey,variety,synonym
3797702,,7299228,Cestrum amictum latifolium,Francey,variety,synonym
3802286,,7299228,Cestrum miersii,Dunal,species,synonym
