uuid,code,name,country,altCodes
e3ca85ad-711e-4c30-b715-179e2a6054ba,FHJ,Federal College of forestry Jos,NG,[]
7e8dae18-e60e-4edc-bdfe-eb6c07d92af5,HUCO,Universidad Católica de Oriente,CO,[]
a0b76cf1-eb8f-4bc0-8865-433d29ec0c3b,CPBH,St. Xavier's College,IN,[]
84ccdb1c-24a5-495e-a676-338bed1117d4,EBCF00,Binghamton University,US,[]
b2f840c6-359f-4660-8442-4833fd35fc19,SMMSH,Santa Monica Mountains National Recreation Area (U.S. National Park Service),US,[]
aed19e87-e463-463a-9991-bda78020655e,CPMR,Centre for Plant Medicine Research,GH,[]
1953b276-3434-4fcb-9ccc-ca2cec6d7585,BJB,Hon. Balasaheb Jadhav college Ale,IN,[]
0c1bdfc9-1943-4125-bc82-041b11d4e5c6,BIN,Bingöl University Herbarium,TR,[]
b4b18a5a-91c4-4c8f-9292-61bc29fe7952,TRZYNT,OLIVE CULTIVATION RESEARCH INSTITUTE DIRECTORATE,TR,[]
37441429-d0a9-4550-90e8-e25224d38df2,FCQB,Universidad Autónoma de Guerrero,MX,[]
ff1de43f-af23-4d4a-bc83-23e921ab7487,KNFHC,Klamath National Forest,US,[]
ec9b0793-f989-4ebd-b762-562fe858b713,WUM,Women University Mardan,PK,[]
28184ce5-1bfb-4017-b3d1-f8cbdb6255bd,SVALP,NGO «St. Alexis Hermitage Orthodox Charity Monastery-Brotherhood»,RU,[]
74642b5e-0505-43e6-a894-df19793ac831,TERN,Terrestrial Ecosystem Research Network (TERN),AU,[]
45fe5ea2-bed6-45c9-928b-7a210e320b3e,HNYUOB,Université Officielle de Bukavu,CD,[]
ac0cb53e-bced-4a82-a06e-2db3a2d388e6,HSCH,Herbario San Cristóbal de Huamanga,PE,[]
70bb4395-f673-4baf-bb17-7496cded00f1,CITRO,"Centro de Investigaciones Tropicales, Universidad Veracruzana",MX,[]
1cb349fc-574c-47c7-8514-f17adbd67b0e,SGH,"The Madura College (Autonomous), Madurai, Tamil Nadu, India.",IN,[]
b766b50e-f67e-415c-ba8e-d8c1ab1e2f2d,HS,Sorsogon State University,PH,[]
82fdc257-6842-42af-b90e-84c1ea421823,TBGH,"Telangana Botanical Garden, Dr. BRR Government Degree College, Jadcherla",IN,[]
0f2cc6e1-365f-4e65-bc30-abac3270e45f,UTPB,University of Texas Permian Basin,US,[]
b12b8ed0-53aa-4b68-9bae-df224e152da2,BGF,Blazej Gierczyk Private Herbarium,PL,[]
bcdbadff-9c9e-43e3-9893-6f5b67d6bf5e,HBB,Universitas Bangka Belitung,ID,[]
224dd7ee-61cc-494b-a26b-da6613351a37,UFDPar,Universidade Federal do Delta do Parnaíba,BR,[]
547692ce-a6b3-4faf-8f96-96903f47f15d,ZEFS,"Department of Zoology, Entomology and Fisheries Sciences, Makerere University",UG,[]
37b11d00-509c-4638-b8d0-ea451f7a08da,TCDGM,Trinity College Dublin Geological Museum,IE,[]
eba23aeb-3d81-46a3-9c4e-eb4dfb767d25,ONPST,Parque Natural Obô de São Tomé,ST,[]
4375da5c-5a2c-425f-857a-5e9700af10fc,UMMNH,University of Michigan Museum of Natural History,US,[]
fb537c13-ae56-4d74-9fdb-cd4233fae106,USB,Universidad Simón Bolívar,CO,[]
3e2c3303-f852-4ea4-9699-2134157bf6fc,NMNHS,National Museum of Natural History at the Bulgarian Academy of Sciences,BG,['BNHM']
